District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Southern,"Block 4, Repulse Bay Garden",,203,"Block 4, Repulse Bay Garden, Southern","22.23883,114.19203"
Southern,"Block 4, Repulse Bay Garden",,223,"Block 4, Repulse Bay Garden, Southern","22.23883,114.19203"
Sha Tin,"Court B, Tower 3, Dragons Range",,204,"Court B, Tower 3, Dragons Range, Sha Tin","22.41331,114.19937"
Sai Kung,"Tower 2, The Capitol, Lohas Park",,205,"Tower 2, The Capitol, Lohas Park, Sai Kung","22.29571,114.27164"
Sai Kung,"Tower 2, The Capitol, Lohas Park",,256,"Tower 2, The Capitol, Lohas Park, Sai Kung","22.29571,114.27164"
Southern,46 Island Road,,206,"46 Island Road, Southern","22.24065,114.18809"
Central & Western,"Tower 1, Hillsborough Court",,207,"Tower 1, Hillsborough Court, Central & Western","22.27499,114.15229"
Central & Western,20 Square Street,,208,"20 Square Street, Central & Western","22.28422,114.14951"
Yau Tsim Mong,K11 ARTUS,,209,"K11 ARTUS, Yau Tsim Mong","22.29774,114.17324"
Wan Chai,"Tower 1, Hoover Tower",,210,"Tower 1, Hoover Tower, Wan Chai","22.27586,114.16954"
Wan Chai,Tower 3 The Avenue,,211,"Tower 3 The Avenue, Wan Chai","22.27586,114.17269"
Wan Chai,Tower 3 The Avenue,,214,"Tower 3 The Avenue, Wan Chai","22.27586,114.17269"
Wan Chai,Tower 3 The Avenue,,230,"Tower 3 The Avenue, Wan Chai","22.27586,114.17269"
Islands,"Block 5, Tung Chung Crescent",,212,"Block 5, Tung Chung Crescent, Islands","22.28882,113.94006"
Wan Chai,Villa Monte Rosa,,216,"Villa Monte Rosa, Wan Chai","22.26405,114.18321"
Central & Western,1 High Street,,217,"1 High Street, Central & Western","22.28516,114.14577"
Wan Chai,"Block A, Viking Villas",,218,"Block A, Viking Villas, Wan Chai","22.28543,114.19451"
Tsuen Wan,"Block 5, The Summit Terrace",,219,"Block 5, The Summit Terrace, Tsuen Wan","22.37544,114.10493"
Tsuen Wan,Tower 1 Vision City,,220,"Tower 1 Vision City, Tsuen Wan","22.36969,114.11336"
Sham Shui Po,"Yee Kok Court, Yee Tai House",,221,"Yee Kok Court, Yee Tai House, Sham Shui Po","22.33287,114.15825"
Yau Tsim Mong,"Block 12, Charming Garden",,223,"Block 12, Charming Garden, Yau Tsim Mong","22.31329,114.16509"
Central & Western,May Tower,,224,"May Tower, Central & Western","22.27351,114.15429"
Southern,No. 4 Stanley Village Road,,225,"No. 4 Stanley Village Road, Southern","22.22447,114.21372"
Southern,"Tower 3, The Repulse Bay",,226,"Tower 3, The Repulse Bay, Southern","22.23534,114.20028"
Wong Tai Sin,Tower 7 The Latitude,,226,"Tower 7 The Latitude, Wong Tai Sin","22.33365,114.19721"
Kowloon City,"Tower 3, Green Wood Laguna Verde",,227,"Tower 3, Green Wood Laguna Verde, Kowloon City","22.30763,114.19197"
Kowloon City,8 Hok Ling Street,,228,"8 Hok Ling Street, Kowloon City","22.3207,114.19351"
Tsuen Wan,"Block C, Luk Yeung Sun Chuen",,229,"Block C, Luk Yeung Sun Chuen, Tsuen Wan","22.37401,114.12051"
Wan Chai,St. Regis Hong Kong,,230,"St. Regis Hong Kong, Wan Chai","22.26535,114.23417"
Wan Chai,St. Regis Hong Kong,,264,"St. Regis Hong Kong, Wan Chai","22.26535,114.23417"
Yuen Long,"Shui Lam House, Tin Shui Estate",,231,"Shui Lam House, Tin Shui Estate, Yuen Long","22.45423,113.99914"
North,"Tower 1, Green Code",,232,"Tower 1, Green Code, North","22.50139,114.14651"
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",,233,"Hong Ping House, Cheung Hong Estate, Kwai Tsing","22.35032,114.10406"
Southern,"South Bay Road, Repulse Bay",,234,"South Bay Road, Repulse Bay, Southern","22.23897,114.19557"
Wan Chai,The Emperor Hotel,,236,"The Emperor Hotel, Wan Chai","22.27462,114.17821"
Eastern,Tung Lam Court,,237,"Tung Lam Court, Eastern","22.2802,114.22048"
Central & Western,"Evergreen Tower, Western Garden",,238,"Evergreen Tower, Western Garden, Central & Western","22.28635,114.14107"
Central & Western,"Evergreen Tower, Western Garden",,268,"Evergreen Tower, Western Garden, Central & Western","22.28635,114.14107"
Sai Kung,31 Wo Tong Kong,,239,"31 Wo Tong Kong, Sai Kung","22.31569,114.27456"
Sha Tin,"Tower 1, BayshoreTowers",,240,"Tower 1, BayshoreTowers, Sha Tin","22.42585,114.2321"
Kowloon City,118 Tam Kung Road,,242,"118 Tam Kung Road, Kowloon City","22.32349,114.18909"
Sham Shui Po,"Phase 2, Village Gardens",,243,"Phase 2, Village Gardens, Sham Shui Po","22.332,114.17588"
Tuen Mun,"Tip Sum House, Butterfly Estate",,244,"Tip Sum House, Butterfly Estate, Tuen Mun","22.37428,113.96315"
Central & Western,"Po Hing Mansion, 20 Rutter Street",,245,"Po Hing Mansion, 20 Rutter Street, Central & Western","22.28428,114.14695"
Wan Chai,"Block C, Beverly Hill, 6 Broadwood Road",,246,"Block C, Beverly Hill, 6 Broadwood Road, Wan Chai","22.2737,114.18585"
Wan Chai,8 Ventris Road,,247,"8 Ventris Road, Wan Chai","22.27373,114.18423"
Eastern,"Maple Mansion, Harbour View Gardens",,249,"Maple Mansion, Harbour View Gardens, Eastern","22.28762,114.21594"
Eastern,"Lai Wah Mansion, 867-881 King's Road",,250,"Lai Wah Mansion, 867-881 King's Road, Eastern","22.29006,114.20963"
Central & Western,The Nova,,251,"The Nova, Central & Western","22.28538,114.14176"
Sha Tin,"Tower 1, Ma On Shan Centre",,252,"Tower 1, Ma On Shan Centre, Sha Tin","22.42547,114.23262"
Sha Tin,"Block D, The Grandville",,253,"Block D, The Grandville, Sha Tin","22.4009,114.19376"
Tuen Mun,"Hing Fai House, Tai Hing Estate",,255,"Hing Fai House, Tai Hing Estate, Tuen Mun","22.40397,113.97016"
Sai Kung,"Tower 9, Ocean Shores",,257,"Tower 9, Ocean Shores, Sai Kung","22.30214,114.25355"
Wan Chai,"Block A, Viking Villas",,260,"Block A, Viking Villas, Wan Chai","22.28543,114.19451"
Central & Western,"Shun On Building, 2 Sands Street",,261,"Shun On Building, 2 Sands Street, Central & Western","22.28373,114.12984"
Kowloon City,Cheong Shing Court,,262,"Cheong Shing Court, Kowloon City","22.31763,114.18889"
Kwai Tsing,"Yam Heng House, Shek Yum Estate",,263,"Yam Heng House, Shek Yum Estate, Kwai Tsing","22.37282,114.1397"
Wan Chai,Sakura Court,,264,"Sakura Court, Wan Chai","22.27436,114.1694"
Central & Western,"Silvercrest, 24 Macdonnell Road",,265,"Silvercrest, 24 Macdonnell Road, Central & Western","22.27541,114.15701"
Southern,Repulse Bay Garden,,266,"Repulse Bay Garden, Southern","22.23903,114.19262"
Central & Western,SOHO 189,,267,"SOHO 189, Central & Western","22.28733,114.14506"
Eastern,"Block Q, Kornhill",,269,"Block Q, Kornhill, Eastern","22.2839,114.21518"
Sham Shui Po,"Block 23, Phase 1, Mei Foo Sun Cheun",,270,"Block 23, Phase 1, Mei Foo Sun Cheun, Sham Shui Po","22.33695,114.13859"
Island,"Tower 12, Caribbean Coast",,271,"Tower 12, Caribbean Coast, Island","22.29152,113.94849"
Yau Tsim Mong,"Block 4, Prosperous Garden",,272,"Block 4, Prosperous Garden, Yau Tsim Mong","22.31082,114.16835"
Yau Tsim Mong,"Block B, Hoi Lam House, Hoi Fu Court",,273,"Block B, Hoi Lam House, Hoi Fu Court, Yau Tsim Mong","22.31677,114.16426"
Kwun Tong,Dorsett Kwun Tong,,274,"Dorsett Kwun Tong, Kwun Tong","22.31576,114.21659"
Wong Tai Sin,"Block 2, Kai Tak Garden",,275,"Block 2, Kai Tak Garden, Wong Tai Sin","22.33752,114.19496"
Wan Chai,Hang Shun Mansions,,276,"Hang Shun Mansions, Wan Chai","22.27854,114.17096"
Wan Chai,307 Jaffe Road,,277,"307 Jaffe Road, Wan Chai","22.27963,114.17834"
Wan Chai,Tagus Residences,,278,"Tagus Residences, Wan Chai","22.27373,114.18423"
Islands,"Woodland Court, Parkvale Village",,279,"Woodland Court, Parkvale Village, Islands","22.29532,114.01235"
Central & Western,Chi Residences 120,,281,"Chi Residences 120, Central & Western","22.28834,114.14422"
Central & Western,208 Hollywood Road,,282,"208 Hollywood Road, Central & Western","22.28542,114.14767"
Southern,L'Hoel Island South,,283,"L'Hoel Island South, Southern","22.24975,114.16817"
Sha Tin,"Block 6, Bayshore Towers",,284,"Block 6, Bayshore Towers, Sha Tin","22.42546,114.2305"
Yau Tsim Mong,"Tower 7, The Long Beach",,285,"Tower 7, The Long Beach, Yau Tsim Mong","22.31981,114.15609"
Sai Kung,Pak Kong Au Road,,286,"Pak Kong Au Road, Sai Kung","22.3826,114.26357"
Tsuen Wan,Indi Home,,287,"Indi Home, Tsuen Wan","22.28785,114.13539"
Kwai Tsing,"On Hoi House, Cheung On Estate",,287,"On Hoi House, Cheung On Estate, Kwai Tsing","22.36161,114.10041"
Eastern,"Block 6, Provident Centre",,288,"Block 6, Provident Centre, Eastern","22.29246,114.19586"
Eastern,"On Hiu Mansion, Lei King Wan",,289,"On Hiu Mansion, Lei King Wan, Eastern","22.28411,114.22316"
Southern,Ovolo Southside,,290,"Ovolo Southside, Southern","22.28026,114.15461"
Southern,"Chun Tak House, Lung Tak Court",,291,"Chun Tak House, Lung Tak Court, Southern","22.22053,114.20785"
Wan Chai,Rosedale Hotel Hong Kong,,292,"Rosedale Hotel Hong Kong, Wan Chai","22.27922,114.18835"
Wan Chai,Monmouth Villa,,293,"Monmouth Villa, Wan Chai","22.27552,114.16785"
Yuen Long,"Heng Moon House, Tin Heng Estate",,294,"Heng Moon House, Tin Heng Estate, Yuen Long","22.47113,114.0014"
Tsuen Wan,"Block 1, City Point",,295,"Block 1, City Point, Tsuen Wan","22.3652,114.11357"
North,Fanling Wai South,,296,"Fanling Wai South, North","22.49993,114.1446"
Eastern,Ramada Hong Kong Grand View,,297,"Ramada Hong Kong Grand View, Eastern","22.27461,114.17868"
North,"Lai Ming House, Wah Ming Estate",,298,"Lai Ming House, Wah Ming Estate, North","22.48514,114.14005"
Kowloon City,"Tower 3, Harbour View Horizon Hotel",,299,"Tower 3, Harbour View Horizon Hotel, Kowloon City","22.32307,114.19042"
Yau Tsim Mong,Rosedale Hotel Kowloon,,300,"Rosedale Hotel Kowloon, Yau Tsim Mong","22.32099,114.1622"
Sha Tin,"Fook Lam House, Kwong Lam Court",,301,"Fook Lam House, Kwong Lam Court, Sha Tin","22.38064,114.21689"
Sha Tin,Athlete's Hostel in HK Sports Institues,,302,"Athlete's Hostel in HK Sports Institues, Sha Tin","22.39492,114.20218"
Eastern,Tung Lam Court,,303,"Tung Lam Court, Eastern","22.2802,114.22048"
Eastern,Tung Lam Court,,304,"Tung Lam Court, Eastern","22.2802,114.22048"
Eastern,191-193 Shau Kei Wan Road,,306,"191-193 Shau Kei Wan Road, Eastern","22.46275,114.00436"
Kwun Tong,"Tak Shui House, Tak Tin Estate",,308,"Tak Shui House, Tak Tin Estate, Kwun Tong","22.30881,114.23879"
Wan Chai,"Celeste Court, Fung Fai Terrace",,309,"Celeste Court, Fung Fai Terrace, Wan Chai","22.26758,114.1831"
Central & Western,Valiant Park,,310,"Valiant Park, Central & Western","22.28079,114.14882"
Kowloon City,8 Hok Ling Street,,311,"8 Hok Ling Street, Kowloon City","22.3207,114.19351"
Kwai Tsing,"Kwai Yat House, Kwai Hong Court",,312,"Kwai Yat House, Kwai Hong Court, Kwai Tsing","22.36369,114.13045"
Yau Tsim Mong,Lyton Building,,313,"Lyton Building, Yau Tsim Mong","22.29707,114.17484"
Sham Shui Po,"Yee Tai House, Yee Kok Court",,314,"Yee Tai House, Yee Kok Court, Sham Shui Po","22.33287,114.15825"
Central & Western,Wise Mansion,,315,"Wise Mansion, Central & Western","22.27987,114.15103"
Southern,Le Meridien Cyberport,,316,"Le Meridien Cyberport, Southern","22.26187,114.12948"
Sai Kung,Marina Cov,,317,"Marina Cov, Sai Kung","22.35639,114.25195"
Southern,"Block 4, Aqua 33",,318,"Block 4, Aqua 33, Southern","22.27064,114.12798"
Central & Western,"Block 8, Hee Wong Terrace, Kennedy Town",,319,"Block 8, Hee Wong Terrace, Kennedy Town, Central & Western","22.28276,114.13095"
Tuen Mun,"The Hillgrove, 9 Tsing Fat Lane, Tuen Mun",,320,"The Hillgrove, 9 Tsing Fat Lane, Tuen Mun, Tuen Mun","22.36522,113.99896"
Islands,"Novotel Citygate Hong Kong, Tung Chung",,321,"Novotel Citygate Hong Kong, Tung Chung, Islands","22.29114,113.94232"
Kowloon City,25 Stafford Road,,322,"25 Stafford Road, Kowloon City","22.33244,114.17779"
Kowloon City,"Block 6, Parc Palais, 18 Wylie Road, King's Park",,323,"Block 6, Parc Palais, 18 Wylie Road, King's Park, Kowloon City","22.31035,114.17765"
Yau Tsim Mong,Rosedale Hotel Kowloon,,324,"Rosedale Hotel Kowloon, Yau Tsim Mong","22.32099,114.1622"
Central & Western,"Vienna Court, Realty Gardens, Mid-levels",,325,"Vienna Court, Realty Gardens, Mid-levels, Central & Western","22.28197,114.14573"
Southern,"Block D, The Manhattan, Tai Tam",,326,"Block D, The Manhattan, Tai Tam, Southern","22.22856,114.21734"
Central & Western,"Tower 1, Hillsborough Court, Mid-levels",,327,"Tower 1, Hillsborough Court, Mid-levels, Central & Western","22.27499,114.15229"
Islands,"Tower 10, the Visionary, Tung Chung",,328,"Tower 10, the Visionary, Tung Chung, Islands","22.29516,113.94993"
Tai Po,"Block 8, Phase 4, Tai Po Centre",,332,"Block 8, Phase 4, Tai Po Centre, Tai Po","22.44185,114.16241"
Yau Tsim Mong,"Kadoorie Avenue Mansion, 207 Prince Edward Road West",,333,"Kadoorie Avenue Mansion, 207 Prince Edward Road West, Yau Tsim Mong","22.32483,114.17493"
Eastern,"Braemar Hill Mansions, 15-43 Braemar Hill Road",,334,"Braemar Hill Mansions, 15-43 Braemar Hill Road, Eastern","22.28542,114.2003"
Yau Tsim Mong,"Best Western Grand Hotel, Tsim Sha Tsui",,335,"Best Western Grand Hotel, Tsim Sha Tsui, Yau Tsim Mong","22.30297,114.1747"
Kowloon City,"152 Waterloo Road, Kowloon Tong",,336,"152 Waterloo Road, Kowloon Tong, Kowloon City","22.3294,114.17784"
Kwai Tsing,"Mai Ning Building, Kwai Chung",,337,"Mai Ning Building, Kwai Chung, Kwai Tsing","22.3602,114.12676"
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",,338,"Chau Kwai House, Kwai Chung Estate, Kwai Tsing","22.3673,114.13017"
Eastern,"Wah Hei House, Tung Hei Court, Sai Wan Ho",,339,"Wah Hei House, Tung Hei Court, Sai Wan Ho, Eastern","22.27975,114.2194"
Sai Kung,"Block 1, Park Mediterranean, Sai Kung",,339,"Block 1, Park Mediterranean, Sai Kung, Sai Kung","22.37857,114.26629"
Eastern,"Sui Fat House, Siu Sai Wan Estate, Chai Wan",,340,"Sui Fat House, Siu Sai Wan Estate, Chai Wan, Eastern","22.26359,114.24853"
Wan Chai,"38 Broadwood Road, Happy Valley",,341,"38 Broadwood Road, Happy Valley, Wan Chai","22.26931,114.18825"
Southern,"Tung Yip House, Lei Tung Estate, Ap Lei Chau",,342,"Tung Yip House, Lei Tung Estate, Ap Lei Chau, Southern","22.24101,114.15456"
Eastern,"Stayed in Homy Inn, North Point",,342,"Stayed in Homy Inn, North Point, Eastern","22.29128,114.19691"
Wan Chai,"Island Building, Wan Chai",,343,"Island Building, Wan Chai, Wan Chai","22.27974,114.18161"
Sai Kung,"Tower 4, Metro City Phase 1",,344,"Tower 4, Metro City Phase 1, Sai Kung","22.32098,114.25745"
Central & Western,"Fairlane Tower, Mid-levels",,345,"Fairlane Tower, Mid-levels, Central & Western","22.27417,114.16047"
Wan Chai,"Po Ming Building, Causeway Bay",,346,"Po Ming Building, Causeway Bay, Wan Chai","22.27851,114.18365"
Sha Tin,"Block 7, Villa Athena, Ma On Shan",,347,"Block 7, Villa Athena, Ma On Shan, Sha Tin","22.42636,114.2373"
Eastern,"Block 3, Fullview Garden, Siu Sai Wan",,348,"Block 3, Fullview Garden, Siu Sai Wan, Eastern","22.26291,114.25243"
Sha Tin,"Yiu Shun House, Yiu On Estate, Ma On Shan",,349,"Yiu Shun House, Yiu On Estate, Ma On Shan, Sha Tin","22.41913,114.23162"
Tai Po,"Block 10, Treasure Spot Garden, Tai Po",,350,"Block 10, Treasure Spot Garden, Tai Po, Tai Po","22.46991,114.20287"
Tai Po,"Block 10, Treasure Spot Garden, Tai Po",,351,"Block 10, Treasure Spot Garden, Tai Po, Tai Po","22.46991,114.20287"
Sai Kung,"Sai Keng Village, Sai Sha Road, Sai Kung",,352,"Sai Keng Village, Sai Sha Road, Sai Kung, Sai Kung","22.3699,114.26892"
Kwun Tong,"Dorsett Kwun Tong Hotel, Kwun Tong",,353,"Dorsett Kwun Tong Hotel, Kwun Tong, Kwun Tong","22.31576,114.21659"
Central & Western,"53 Hollywood Road, Central",,354,"53 Hollywood Road, Central, Central & Western","22.28289,114.153"
Sha Tin,Block 11 Royal Ascot,,,"Block 11 Royal Ascot, Sha Tin","22.40206,114.203"
Central & Western,Chester Court,,,"Chester Court, Central & Western","22.28629,114.13241"
Eastern,"Kam Shan Mansion, Taikoo Shing",,358,"Kam Shan Mansion, Taikoo Shing, Eastern","22.28564,114.21942"
Kowloon City,Stafford Road,,359,"Stafford Road, Kowloon City","22.33049,114.17764"
Central & Western,312 Queen's Road West,,360,"312 Queen's Road West, Central & Western","22.28681,114.1418"
Central & Western,Bohemian House,,361,"Bohemian House, Central & Western","22.2877,114.13904"
Central & Western,Golden Valley Mansion,,362,"Golden Valley Mansion, Central & Western","22.28303,114.14982"
Southern,"Block C, The Manhattan",,363,"Block C, The Manhattan, Southern","22.22856,114.21734"
Sha Tin,"Jade Heights, Belair Gardens",,366,"Jade Heights, Belair Gardens, Sha Tin","22.38566,114.19989"
Central & Western,Golden Valley Mansion,,367,"Golden Valley Mansion, Central & Western","22.28303,114.14982"
Central & Western,Four Seasons Hotel Hong Kong,,368,"Four Seasons Hotel Hong Kong, Central & Western","22.28662,114.15666"
Central & Western,Four Seasons Hotel Hong Kong,,369,"Four Seasons Hotel Hong Kong, Central & Western","22.28662,114.15666"
Central & Western,1 Ping On Lane,,370,"1 Ping On Lane, Central & Western","22.28371,114.15052"
Islands,"Mun Wo House, Mun Tung Estate",,371,"Mun Wo House, Mun Tung Estate, Islands","22.27778,113.93297"
Southern,"Block 12, South Horizons",,372,"Block 12, South Horizons, Southern","22.24401,114.14574"
Wan Chai,Sing Kong Building,,373,"Sing Kong Building, Wan Chai","22.27866,114.17589"
Southern,"Block 25, Baguio Villa",,374,"Block 25, Baguio Villa, Southern","22.26178,114.13418"
Central & Western,Wise Mansion,,375,"Wise Mansion, Central & Western","22.27987,114.15103"
Tai Po,San Uk Ka,,377,"San Uk Ka, Tai Po","22.43357,114.16393"
Central & Western,Centre Place,,378,"Centre Place, Central & Western","22.28744,114.14693"
Kowloon City,1 Oxford Road,,379,"1 Oxford Road, Kowloon City","22.33051,114.18064"
Eastern,6 Ming Yuen Western Street,,380,"6 Ming Yuen Western Street, Eastern","22.29043,114.19867"
Sai Kung,Marina Cove,,381,"Marina Cove, Sai Kung","22.35639,114.25195"
Tai Po,"Block 3, Uptown Plaza",,383,"Block 3, Uptown Plaza, Tai Po","22.44353,114.16933"
Wan Chai,Hang Shun Mansion,,384,"Hang Shun Mansion, Wan Chai","22.27854,114.17096"
Sai Kung,"Kwong Cheong House, Kwong Ming Court",,385,"Kwong Cheong House, Kwong Ming Court, Sai Kung","22.31197,114.25976"
